customer_id,limit_id,limit_product,currency,approved_limit,utilized,available,collateral_id,collateral_type,collateral_value
100118,LIM100118H,HOME,INR,6726984,4685242,2041742,COL100118H,PROPERTY,9865517
100144,LIM100144P,PERSONAL,INR,242811,148617,94194,,,0
100191,LIM100191P,PERSONAL,INR,639704,275364,364340,,,0
100205,LIM100205B,BUSINESS,INR,2394034,1837123,556911,COL100205B,PROPERTY,2099963
100198,LIM100198P,PERSONAL,INR,300956,201697,99259,,,0
100195,LIM100195P,PERSONAL,INR,427114,334621,92493,,,0
100125,LIM100125H,HOME,INR,7141513,6486964,654549,COL100125H,PROPERTY,8416106
100162,LIM100162P,PERSONAL,INR,768113,714272,53841,,,0
100136,LIM100136P,PERSONAL,INR,419283,193049,226234,,,0
100171,LIM100171P,PERSONAL,INR,699887,408718,291169,,,0
100123,LIM100123P,PERSONAL,INR,290927,200760,90167,,,0
100114,LIM100114H,HOME,INR,4237768,1678844,2558924,COL100114H,PROPERTY,5869667
100135,LIM100135H,HOME,INR,3157899,1750599,1407300,COL100135H,PROPERTY,4025801
100183,LIM100183P,PERSONAL,INR,392230,243312,148918,,,0
100140,LIM100140P,PERSONAL,INR,502825,201842,300983,,,0
100150,LIM100150B,BUSINESS,INR,2867370,2094156,773214,COL100150B,PROPERTY,1654789
100209,LIM100209P,PERSONAL,INR,428221,264144,164077,,,0
100117,LIM100117H,HOME,INR,3251777,2823293,428484,COL100117H,PROPERTY,4353380
100197,LIM100197H,HOME,INR,5014504,3924048,1090456,COL100197H,PROPERTY,6240299
100201,LIM100201P,PERSONAL,INR,395549,342428,53121,,,0
100147,LIM100147B,BUSINESS,INR,3489934,1889738,1600196,COL100147B,PROPERTY,2054938
100157,LIM100157P,PERSONAL,INR,564858,464042,100816,,,0
100219,LIM100219H,HOME,INR,7229920,4916775,2313145,COL100219H,PROPERTY,9530853
100119,LIM100119P,PERSONAL,INR,792776,607029,185747,,,0
100177,LIM100177P,PERSONAL,INR,479016,240278,238738,,,0
100172,LIM100172P,PERSONAL,INR,775309,438606,336703,,,0
100149,LIM100149P,PERSONAL,INR,139110,78319,60791,,,0
100210,LIM100210P,PERSONAL,INR,726364,601239,125125,,,0
100146,LIM100146H,HOME,INR,4670454,3246625,1423829,COL100146H,PROPERTY,6106707
100199,LIM100199B,BUSINESS,INR,1520202,844989,675213,COL100199B,PROPERTY,1315089
100116,LIM100116B,BUSINESS,INR,2846090,1785160,1060930,COL100116B,PROPERTY,1894058
100156,LIM100156P,PERSONAL,INR,521413,246873,274540,,,0
100200,LIM100200P,PERSONAL,INR,115602,65832,49770,,,0
100193,LIM100193B,BUSINESS,INR,1985801,916352,1069449,COL100193B,PROPERTY,1129789
100178,LIM100178P,PERSONAL,INR,231649,211276,20373,,,0
100100,LIM100100H,HOME,INR,5511838,3786352,1725486,COL100100H,PROPERTY,6493228
100213,LIM100213H,HOME,INR,4233251,2997626,1235625,COL100213H,PROPERTY,5621883
100138,LIM100138H,HOME,INR,5952719,3913086,2039633,COL100138H,PROPERTY,8612507
100194,LIM100194P,PERSONAL,INR,568746,385829,182917,,,0
100148,LIM100148P,PERSONAL,INR,410437,349701,60736,,,0
100102,LIM100102H,HOME,INR,3825261,3624115,201146,COL100102H,PROPERTY,5725403
100160,LIM100160P,PERSONAL,INR,366528,148811,217717,,,0
100113,LIM100113B,BUSINESS,INR,5157414,4862889,294525,COL100113B,PROPERTY,4372448
100143,LIM100143H,HOME,INR,5128582,4112582,1016000,COL100143H,PROPERTY,5922751
100137,LIM100137P,PERSONAL,INR,121734,104769,16965,,,0
100159,LIM100159H,HOME,INR,5721493,4732743,988750,COL100159H,PROPERTY,7013414
100158,LIM100158P,PERSONAL,INR,679153,583212,95941,,,0
100105,LIM100105P,PERSONAL,INR,568927,401866,167061,,,0
100153,LIM100153P,PERSONAL,INR,62653,45797,16856,,,0
100129,LIM100129H,HOME,INR,3007249,1802121,1205128,COL100129H,PROPERTY,4064081
100103,LIM100103P,PERSONAL,INR,243826,81510,162316,,,0
100104,LIM100104P,PERSONAL,INR,455456,98461,356995,,,0
100107,LIM100107P,PERSONAL,INR,463324,312472,150852,,,0
100108,LIM100108P,PERSONAL,INR,422152,159170,262982,,,0
100109,LIM100109P,PERSONAL,INR,393662,322082,71580,,,0
100110,LIM100110P,PERSONAL,INR,101024,86529,14495,,,0
100111,LIM100111P,PERSONAL,INR,436050,292663,143387,,,0
100112,LIM100112P,PERSONAL,INR,440802,104163,336639,,,0
100115,LIM100115P,PERSONAL,INR,269344,135421,133923,,,0
100122,LIM100122P,PERSONAL,INR,313320,122766,190554,,,0
100126,LIM100126P,PERSONAL,INR,456606,256980,199626,,,0
100127,LIM100127P,PERSONAL,INR,359823,163010,196813,,,0
100130,LIM100130P,PERSONAL,INR,497945,114739,383206,,,0
100131,LIM100131P,PERSONAL,INR,478127,170779,307348,,,0
100133,LIM100133P,PERSONAL,INR,245716,207107,38609,,,0
100134,LIM100134P,PERSONAL,INR,379136,194952,184184,,,0
